Right Cerebrum.Occipital Lobe.Lingual Gyrus.Gray Matter.Brodmann area 17,
Left Cerebrum.Occipital Lobe.*.*.*,
Left Cerebrum.Occipital Lobe.Lingual Gyrus.Gray Matter.Brodmann area 18,
Right Cerebrum.Occipital Lobe.*.*.*,141
Right Cerebrum.Occipital Lobe.Lingual Gyrus.Gray Matter.Brodmann area 18,141
Left Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.Gray Matter.Brodmann area 18,263
Left Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.*.*,263
Left Cerebrum.Occipital Lobe.Lingual Gyrus.White Matter.*,175
Right Cerebrum.Occipital Lobe.Lingual Gyrus.White Matter.*,
Right Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.Gray Matter.Brodmann area 18,
Left Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.White Matter.*,263
Right Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.White Matter.*,
Right Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.*.*,
Left Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 19,
Right Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 19,139
*.*.Inferior Occipital Gyrus.*.*,
Left Cerebrum.*.Inferior Occipital Gyrus.*.*,
Right Cerebrum.*.Inferior Occipital Gyrus.*.*,
Right Cerebrum.Occipital Lobe.*.Gray Matter.Brodmann area 19,141
Left Cerebrum.Occipital Lobe.*.Gray Matter.Brodmann area 19,
Left Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 19,
Right Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 19,
Left Cerebrum.Temporal Lobe.*.Gray Matter.Brodmann area 37,299
Right Cerebrum.Temporal Lobe.*.Gray Matter.Brodmann area 37,
Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 37,
Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 37,298
Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 37,130
Right Cerebrum.Limbic Lobe.*.Gray Matter.Brodmann area 35,345
*.*.*.White Matter.Optic Tract,
*.*.*.Gray Matter.Hypothalamus,
Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 21,159
Right Cerebrum.Temporal Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 21,
Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.*.*,
Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.*.*,
Left Cerebrum.Limbic Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34,
Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34,
Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 25,
Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 25,
Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34,
Right Cerebrum.Limbic Lobe.Subcallosal Gyrus.*.*,118
Right Cerebrum.Limbic Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34,118
Left Cerebrum.Temporal Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 21,332
Left Cerebrum.Temporal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 34,
Left Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 13,
Left Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.White Matter.*,282
Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.White Matter.*,
Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.White Matter.*,
Right Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 13,
Right Cerebrum.Temporal Lobe.Inferior Frontal Gyrus.White Matter.*,
Left Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 13,
